Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Segment,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
NC_074895,Tomato leaf curl Joydebpur virus,RefSeq,GCF_002824145.1,"Sinha,D.P., Saxena,S., Singh,M., Prasanna,H.C., Tiwari,S.K.","National Center for Biotechnology Information, NIH",USA,2023-05-04,Varanasi,Tomato leaf curl Joydebpur virus,2798,complete,DNA-A,India,,Capsicum annuum,,2010-01
NC_074953,Roundleaf bat hepatitis B virus,RefSeq,GCF_002826185.1,"Drexler,J.F., Geipel,A., Konig,A., Corman,V.M., van Riel,D., Leijten,L.M., Bremer,C.M., Rasche,A., Cottontail,V.M., Maganga,G.D., Schlegel,M., Muller,M.A., Adam,A., Klose,S.M., Borges Carneiro,A.J., Stocker,A., Franke,C.R., Gloza-Rausch,F., Geyer,J., Annan,A., Adu-Sarkodie,Y., Oppong,S., Binger,T., Vallo,P., Tschapka,M., Ulrich,R.G., Gerlich,W.H., Leroy,E., Kuiken,T., Glebe,D., Drosten,C.","National Center for Biotechnology Information, NIH",USA,2023-05-04,RBHBV/GB09-303/Hip_rub/GAB/2009,Roundleaf bat hepatitis B virus,3368,complete,,Gabon,,Hipposideros cf. ruber,,2009
NC_074954,Tent-making bat hepatitis B virus,RefSeq,GCF_002826205.1,"Drexler,J.F., Geipel,A., Konig,A., Corman,V.M., van Riel,D., Leijten,L.M., Bremer,C.M., Rasche,A., Cottontail,V.M., Maganga,G.D., Schlegel,M., Muller,M.A., Adam,A., Klose,S.M., Borges Carneiro,A.J., Stocker,A., Franke,C.R., Gloza-Rausch,F., Geyer,J., Annan,A., Adu-Sarkodie,Y., Oppong,S., Binger,T., Vallo,P., Tschapka,M., Ulrich,R.G., Gerlich,W.H., Leroy,E., Kuiken,T., Glebe,D., Drosten,C.","National Center for Biotechnology Information, NIH",USA,2023-05-04,TBHBV/Pan957/Uro_bil/PAN/2011,Tent-making bat hepatitis B virus,3149,complete,,Panama,,Uroderma bilobatum,,2011
NC_074955,Paslahepevirus balayani,RefSeq,GCF_002826225.1,"Tam,A.W., Smith,M.M., Guerra,M.E., Huang,C.C., Bradley,D.W., Fry,K.E., Reyes,G.R.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Paslahepevirus balayani,7207,complete,,,,,,
NC_074968,Pea enation mosaic virus 1,RefSeq,GCF_002826625.1,"Vemulapati,B., Druffel,K.L., Eigenbrode,S.D., Karasev,A., Pappu,H.R., Vemulapati,B.M.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Pea enation mosaic virus 1,5704,complete,,USA: Idaho,ID,Pisum sativum,,2009-08
NC_074970,Bovine parvovirus 3,RefSeq,GCF_002827445.1,"Allander,T., Emerson,S.U., Engle,R.E., Purcell,R.H., Bukh,J.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Erythroparvovirus ungulate1,5276,complete,,,,,,
NC_074971,Betapolyomavirus secumuris,RefSeq,GCF_002827905.1,"Ben Salem,N., Moens,U., Ehlers,B., Ben-Salem,N.","National Center for Biotechnology Information, NIH",USA,2023-05-04,#6018,Betapolyomavirus secumuris,5005,complete,,Germany,,Mus musculus,"spleen, abdominal cavity",2008
NC_074988,Cotton leaf curl Gezira betasatellite,RefSeq,GCF_002830045.1,"Idris,A., Brown,J.","National Center for Biotechnology Information, NIH",USA,2023-05-04,Datura 1,Cotton leaf curl Gezira betasatellite,1349,complete,,Sudan,,,,
NC_074989,Chayote yellow mosaic Benin betasatellite,RefSeq,GCF_002830105.1,"Leke,W.N., Mignouna,D.B., Brown,J.K., Fondong,V.N.","National Center for Biotechnology Information, NIH",USA,2023-05-04,Benin-Momordica charantia-57-14,Momordica yellow mosaic betasatellite,1367,complete,,Benin,,Momordica charantia,,2014
NC_074990,Rose leaf curl betasatellite,RefSeq,GCF_002830205.1,"Khatri,S., Nahid,N., Fauquet,C.M., Mubin,M., Nawaz-Ul-Rehman,M.S., Khatri,S.M., Nawaz-ul-Rehman,M.S.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Rose leaf curl betasatellite,1348,complete,,Pakistan,,Nicotiana benthamiana,,
NC_074991,Tomato leaf curl Java betasatellite,RefSeq,GCF_002830285.1,"Shahid,M.S., Yoshida,S., Khatri-Chhetri,G.B., Briddon,R.W., Natsuaki,K.T.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Tomato leaf curl Java betasatellite,1356,complete,,Nepal,,Carica papaya,plant leaf,2010-11-25
NC_074992,Lake Sinai virus 1,RefSeq,GCF_002830825.1,"Runckel,C., Flenniken,M.L., Engel,J.C., Ruby,J.G., Ganem,D., Andino,R., Derisi,J.L., Daughenbaugh,K., Flenniken,M., Runckel,C.J., Engel,J., DeRisi,J.L.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Lake Sinai virus 1,5904,complete,,USA,,Apis mellifera,,2009-08-05
NC_074993,Lake Sinai virus 2,RefSeq,GCF_002830845.1,"Runckel,C., Flenniken,M.L., Engel,J.C., Ruby,J.G., Ganem,D., Andino,R., Derisi,J.L., Daughenbaugh,K., Runckel,C.J., Engel,J., DeRisi,J.L.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Lake Sinai virus 2,5910,complete,,USA,,Apis mellifera,,2009-08-05
NC_075006,Onyong-nyong virus,RefSeq,GCF_002888795.1,"Lanciotti,R.S., Ludwig,M.L., Rwaguma,E.B., Lutwama,J.J., Kram,T.M., Karabatsos,N., Cropp,B.C., Miller,B.R., Rwanuma,E.B.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Onyong-nyong virus,11822,complete,,Uganda,,,,
NC_075011,Madariaga virus,RefSeq,GCF_002888955.1,"Kondig,J.P., Turell,M.J., Lee,J.S., O'Guinn,M.L., Wasieloski,L.P. Jr.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Madariaga virus,11604,complete,,Peru,,Culicidae,,1996
NC_075015,Western equine encephalitis virus,RefSeq,GCF_002889215.1,"Logue,C.H., Bosio,C.F., Welte,T., Keene,K.M., Ledermann,J.P., Phillips,A., Sheahan,B.J., Pierro,D.J., Marlenee,N., Brault,A.C., Bosio,C.M., Singh,A.J., Powers,A.M., Olson,K.E., Keene,K.K.","National Center for Biotechnology Information, NIH",USA,2023-05-04,AG80-646,Western equine encephalitis virus,11562,complete,,Argentina: Chaco Province,,Culex,,1980
NC_075016,Ross River virus,RefSeq,GCF_002889255.1,"Jones,A., Lowry,K., Aaskov,J., Holmes,E.C., Kitchen,A.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Ross River virus,11948,complete,,Australia: northeast,,Homo sapiens,,2004
NC_075022,Venezuelan equine encephalitis virus,RefSeq,GCF_002889695.1,"Kinney,R.M., Johnson,B.J., Welch,J.B., Tsuchiya,K.R., Trent,D.W., Kost,C.L., Brown,V.L., Kinney,R.","National Center for Biotechnology Information, NIH",USA,2023-05-04,donkey/Trinidad/1943,Venezuelan equine encephalitis virus,11447,complete,,,,,,
NC_075025,Enterobacteria phage f1,RefSeq,GCF_002921355.1,"Fujita,K., Ishibashi,T., Suzuki,K.","National Center for Biotechnology Information, NIH",USA,2023-05-04,NBRC 20010,Inovirus M13,6407,complete,,,,Enterobacteriaceae,,
NC_075026,Enterobacteria phage f1,RefSeq,GCF_002921365.1,"Fujita,K., Ishibashi,T., Suzuki,K.","National Center for Biotechnology Information, NIH",USA,2023-05-04,NBRC 20015,Inovirus M13,6407,complete,,,,Enterobacteriaceae,,
NC_075027,Enterobacteria phage f1,RefSeq,GCF_002921535.1,"Domingo-Calap,P., Cuevas,J.M., Sanjuan,R., Domingo,P.","National Center for Biotechnology Information, NIH",USA,2023-05-04,F1_1,Inovirus M13,6407,complete,,,,Enterobacteriaceae,,
NC_075028,Enterobacteria phage f1,RefSeq,GCF_002921545.1,"Domingo-Calap,P., Cuevas,J.M., Sanjuan,R., Domingo,P.","National Center for Biotechnology Information, NIH",USA,2023-05-04,F1_2,Inovirus M13,6407,complete,,,,Enterobacteriaceae,,
NC_075029,Enterobacteria phage f1,RefSeq,GCF_002921555.1,"Domingo-Calap,P., Cuevas,J.M., Sanjuan,R., Domingo,P.","National Center for Biotechnology Information, NIH",USA,2023-05-04,F1_3,Inovirus M13,6407,complete,,,,Enterobacteriaceae,,
NC_075030,Enterobacteria phage f1,RefSeq,GCF_002921565.1,"Domingo-Calap,P., Cuevas,J.M., Sanjuan,R., Domingo,P.","National Center for Biotechnology Information, NIH",USA,2023-05-04,F1_ancestral,Inovirus M13,6407,complete,,,,Enterobacteriaceae,,
NC_075031,Enterobacteria phage f1,RefSeq,GCF_002921675.1,"Domingo-Calap,P., Sanjuan,R.","National Center for Biotechnology Information, NIH",USA,2023-05-04,f1_1_FR,Inovirus M13,6407,complete,,,,Escherichia coli,,
NC_075032,Enterobacteria phage f1,RefSeq,GCF_002921685.1,"Domingo-Calap,P., Sanjuan,R.","National Center for Biotechnology Information, NIH",USA,2023-05-04,f1_2_FR,Inovirus M13,6407,complete,,,,Escherichia coli,,
NC_075033,Enterobacteria phage f1,RefSeq,GCF_002921695.1,"Domingo-Calap,P., Sanjuan,R.","National Center for Biotechnology Information, NIH",USA,2023-05-04,f1_3_FR,Inovirus M13,6407,complete,,,,Escherichia coli,,
NC_075049,Dicliptera yellow mottle virus,RefSeq,GCF_002986495.1,"Echemendia,A.L., Ramos,P.L., Peral,R., Fuentes,A.D., Pujol,M., Gonzalez,G.A.","National Center for Biotechnology Information, NIH",USA,2023-05-04,Cuban,Dicliptera yellow mottle virus,2608,complete,A,Cuba,,Dicliptera vahliana,,
NC_075080,Euphorbia caput-medusae latent virus,RefSeq,GCF_002987195.1,"Bernardo,P., Golden,M., Akram,M., Naimuddin,A., Nadarajan,N., Fernandez,E., Granier,M., Rebelo,A.G., Peterschmitt,M., Martin,D.P., Roumagnac,P.","National Center for Biotechnology Information, NIH",USA,2023-05-04,Dar10,Euphorbia caput-medusae latent virus,2678,complete,,"South Africa:Western Cape, Darling",,Euphorbia caput-medusae,plant leaf,2010-09
NC_075086,Wheat dwarf virus,RefSeq,GCF_002987285.1,"Koklu,G., Ramsell,J.N., Kvarnheden,A.","National Center for Biotechnology Information, NIH",USA,2023-05-04,Barley,Wheat dwarf virus,2739,complete,,Turkey:Tekirdag,,Hordeum vulgare,,
NC_075096,Ageratum leaf curl Cameroon betasatellite,RefSeq,GCF_002987805.1,"Leke,W.N., Besem,E.N., Njualem,D.K., Titanji,V.P., Legg,J.P., Fondong,V.N., Ngeve,J.M., Zok,S., Brown,J.K., Kvarnheden,A.","National Center for Biotechnology Information, NIH",USA,2023-05-04,AMBF,Betasatellite ageracameroonense,1393,complete,,Cameroon:Manjo,,Ageratum conyzoides,,
NC_075097,Cotton leaf curl Multan betasatellite,RefSeq,GCF_002987865.1,"Briddon,R.W., Mansoor,S., Bedford,I.D., Pinner,M.S., Saunders,K., Stanley,J., Zafar,Y., Malik,K.A., Markham,P.G.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Cotton leaf curl Multan betasatellite,1349,complete,,Pakistan,,Gossypium hirsutum,,
NC_075098,Tomato leaf curl Bangladesh betasatellite,RefSeq,GCF_002987895.1,"Bull,S.E., Tsai,W.S., Briddon,R.W., Markham,P.G., Stanley,J., Green,S.K.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Tomato leaf curl Bangladesh betasatellite,1383,complete,,Bangladesh:Gazipur,,Solanum lycopersicum,plant leaf,
NC_075099,Tomato leaf curl betasatellite,RefSeq,GCF_002987905.1,"Briddon,R.W., Bull,S.E., Amin,I., Idris,A.M., Mansoor,S., Bedford,I.D., Dhawan,P., Rishi,N., Siwatch,S.S., Abdel-Salam,A.M., Brown,J.K., Zafar,Y., Markham,P.G.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Tomato leaf curl betasatellite,1374,complete,,Pakistan,,Solanum lycopersicum,,
NC_075100,Tomato leaf curl Joydebpur betasatellite,RefSeq,GCF_002987935.1,"Maruthi,M.N., Rekha,A.R., Alam,S.N., Kader,K.A., Cork,A., Colvin,J.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Tomato leaf curl Joydebpur betasatellite,1366,complete,,Bangladesh:Gazipur district,,Solanum lycopersicum,,
NC_075101,Tomato leaf curl betasatellite,RefSeq,GCF_002987995.1,"Bull,S.E., Tsai,W.S., Briddon,R.W., Markham,P.G., Stanley,J., Green,S.K.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Tomato leaf curl betasatellite,1371,complete,,Sri Lanka,,Solanum lycopersicum,plant leaf,
NC_075102,Tomato leaf curl China betasatellite,RefSeq,GCF_002988005.1,"Zhou,X., Xie,Y., Tao,X., Zhang,Z., Li,Z., Fauquet,C.M.","National Center for Biotechnology Information, NIH",USA,2023-05-04,Y45,Tomato leaf curl China betasatellite,1341,complete,,China:Yunnan,,,,
NC_075103,Croton yellow vein betasatellite,RefSeq,GCF_002988015.1,"Diwakar,K., Sinilal,B., Packialakshmi,R.M., Girish,K.R., Usha,R.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Croton yellow vein betasatellite,739,complete,,India:Madurai,,Croton bonplandianus,,
NC_075106,Dragonfly-associated mastrevirus,RefSeq,GCF_003028965.1,"Rosario,K., Padilla-Rodriguez,M., Kraberger,S., Stainton,D., Martin,D.P., Breitbart,M., Varsani,A.","National Center for Biotechnology Information, NIH",USA,2023-05-04,PR_NZ50_2009,Dragonfly-associated mastrevirus,2649,complete,,Puerto Rico,PR,,,2009-11-24
NC_075107,Sugarcane striate virus,RefSeq,GCF_003029085.1,"Wen,R., Zhou,L., Xu,Z., Tang,Y., Bai,R., Gui,C., Lin,Y., Chen,B.","National Center for Biotechnology Information, NIH",USA,2023-05-04,WZG,Sugarcane striate virus,2747,complete,,China,,Saccharum officinarum,,2014-06-07
NC_075108,Maize yellow mosaic virus,RefSeq,GCF_003029295.1,"Chen,S., Jiang,G., Wu,J., Liu,Y., Qian,Y., Zhou,X., Qian,Y.J., Zhou,X.P.","National Center for Biotechnology Information, NIH",USA,2023-05-04,Yunnan11,Maize yellow mosaic virus,5642,complete,,China,,Zea mays,,2013
NC_075109,Pepper yellow leaf curl Thailand virus,RefSeq,GCF_003029535.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-04,WF-SPN-Pep2015,Pepper yellow leaf curl Thailand virus,2742,complete,DNA-A,Thailand: Suphanburi,,,,2015-08
NC_075110,Sweet potato symptomless virus 1,RefSeq,GCF_003029565.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-04,Q44429,Sweet potato symptomless virus 1,2602,complete,,Kenya,,Ipomoea batatas,,2005-07-15
NC_075118,Acheta domestica densovirus,RefSeq,GCF_003033195.1,"Szelei,J., Woodring,J., Goettel,M.S., Duke,G., Jousset,F.X., Liu,K.Y., Zadori,Z., Li,Y., Styer,E., Boucias,D.G., Kleespies,R.G., Bergoin,M., Tijssen,P.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Scindoambidensovirus orthopteran1,5425,complete,,,,Acheta domesticus,,1977
NC_075119,Canine minute virus,RefSeq,GCF_003033225.1,"Sun,Y., Chen,A.Y., Cheng,F., Guan,W., Johnson,F.B., Qiu,J.","National Center for Biotechnology Information, NIH",USA,2023-05-04,GA 3,Bocaparvovirus carnivoran1,5402,complete,,USA,,Canis lupus familiaris,,1991
NC_075120,Bocaparvovirus primate1,RefSeq,GCF_003033285.1,"Huang,Q., Deng,X., Yan,Z., Cheng,F., Luo,Y., Shen,W., Lei-Butters,D.C., Chen,A.Y., Li,Y., Tang,L., Soderlund-Venermo,M., Engelhardt,J.F., Qiu,J.","National Center for Biotechnology Information, NIH",USA,2023-05-04,Salvador1,Bocaparvovirus primate1,5543,complete,,Brazil,,Homo sapiens,oronasopharynx,2005
NC_075121,Betapolyomavirus securanorvegicus,RefSeq,GCF_003033355.1,"Rigatti,L.H., Toptan,T., Newsome,J.T., Moore,P.S., Chang,Y.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Betapolyomavirus securanorvegicus,5104,complete,,USA,,Rattus,,2016-03-08
NC_075122,hepatitis D virus 4,RefSeq,GCF_003033645.1,"Wu,J.C., Chiang,T.Y., Sheen,I.J.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Deltavirus taiwanense,1676,complete,,,,,,
NC_075123,Faba bean necrotic yellows C9 alphasatellite,RefSeq,GCF_003033965.1,"Katul,L., Timchenko,T., Gronenborn,B., Vetten,H.J.","National Center for Biotechnology Information, NIH",USA,2023-05-04,SV292-88,Faba bean necrotic yellows alphasatellite 2,1004,complete,,,,,,
NC_075135,Maize streak virus - A[South Africa],RefSeq,GCF_003048235.1,"Lazarowitz,S.G.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Maize streak virus,2690,complete,,,,,,
NC_075137,Cotton leaf curl Gezira alphasatellite,RefSeq,GCF_003073075.1,"Idris,A., Al-Saleh,M., Piatek,M.J., Al-Shahwan,I., Ali,S., Brown,J.K., Idris,A.M.","National Center for Biotechnology Information, NIH",USA,2023-05-04,KSA27 DNA2,Cotton leaf curl Gezira alphasatellite,1367,complete,,Saudi Arabia:Jazan,,Abelmoschus esculentus,,
NC_075274,Aedes anphevirus,RefSeq,GCF_003260715.1,"Parry,R.H., Asgari,S.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Gylbovirus aagae,12842,complete,,USA,,Aedes albopictus,,2013
NC_075276,Parvoviridae sp.,RefSeq,GCF_003389895.1,"Yang,S., Wang,Y., Zhang,W.","National Center for Biotechnology Information, NIH",USA,2023-05-04,yc-9,Parvoviridae sp.,4305,complete,,China,,Grus japonensis,feces,2014-12
NC_075277,Parvoviridae sp.,RefSeq,GCF_003389915.1,"Yang,S., Wang,Y., Zhang,W.","National Center for Biotechnology Information, NIH",USA,2023-05-04,yc-10,Parvoviridae sp.,4354,complete,,China,,Grus japonensis,feces,2014-12
NC_075278,Parvoviridae sp.,RefSeq,GCF_003389935.1,"Yang,S., Wang,Y., Zhang,W.","National Center for Biotechnology Information, NIH",USA,2023-05-04,yc-11,Parvoviridae sp.,4274,complete,,China,,Grus japonensis,feces,2014-12
NC_075279,Parvoviridae sp.,RefSeq,GCF_003389955.1,"Yang,S., Wang,Y., Zhang,W.","National Center for Biotechnology Information, NIH",USA,2023-05-04,yc-12,Parvoviridae sp.,4534,complete,,China,,Grus japonensis,feces,2014-12
NC_075280,Picornaviridae sp.,RefSeq,GCF_003389975.1,"Yang,S., Wang,Y., Zhang,W.","National Center for Biotechnology Information, NIH",USA,2023-05-04,yc-1,Picornaviridae sp.,7443,complete,,China,,Grus japonensis,feces,2014-12
NC_075281,grusopivirus A1,RefSeq,GCF_003390015.1,"Yang,S., Wang,Y., Zhang,W.","National Center for Biotechnology Information, NIH",USA,2023-05-04,yc-5,Grusopivirus A,7917,complete,,China,,Grus japonensis,feces,2014-12
NC_075282,grusopivirus B1,RefSeq,GCF_003390035.1,"Yang,S., Wang,Y., Zhang,W.","National Center for Biotechnology Information, NIH",USA,2023-05-04,yc-6,Grusopivirus B,7104,complete,,China,,Grus japonensis,feces,2014-12
NC_075283,Valinorvirus arda,RefSeq,GCF_003532585.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-04,,Valinorvirus arda,1664,complete,,USA: Florida,FL,,,2015-04
NC_075284,Valinorvirus eriador,RefSeq,GCF_003532615.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-04,,Valinorvirus eriador,1768,complete,,USA: Florida,FL,,,2015-04
NC_075286,Macaque stool associated virus 11,RefSeq,GCF_003623315.1,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,2023-05-04,ctfe71,Porprismacovirus macas5,2528,complete,,USA,,,,2017-06-01
NC_075287,Bacilladnaviridae sp.,RefSeq,GCF_003652385.1,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,2023-05-04,ctdc18,Bacilladnaviridae sp.,5461,complete,,USA,,Lutjanus campechanus,,2017-06-01
NC_075288,Genomoviridae sp.,RefSeq,GCF_003656345.1,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,2023-05-04,ctcj270,Genomoviridae sp.,2180,complete,,USA,,,,2017-06-01
NC_075289,Circoviridae sp.,RefSeq,GCF_003656925.1,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,2023-05-04,ctga69,Circoviridae sp.,2780,complete,,USA,,,,2017-06-01
NC_075290,Bacilladnaviridae sp.,RefSeq,GCF_003657365.1,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,2023-05-04,ctia23,Bacilladnaviridae sp.,5058,complete,,USA,,Lutjanus campechanus,,2017-06-01
NC_075291,Macaca mulatta feces associated virus 10,RefSeq,GCF_003673225.1,"Kapusinszky,B., Ardeshir,A., Mulvaney,U., Deng,X., Delwart,E.L.","National Center for Biotechnology Information, NIH",USA,2023-05-04,cg3401,Porprismacovirus macas6,2526,complete,,USA,,Macaca mulatta,feces,2014
NC_075292,Macaca mulatta feces associated virus 2,RefSeq,GCF_003673285.1,"Kapusinszky,B., Ardeshir,A., Mulvaney,U., Deng,X., Delwart,E.L.","National Center for Biotechnology Information, NIH",USA,2023-05-04,1705_10199,Porprismacovirus macas4,2523,complete,,USA,,Macaca mulatta,feces,2014
NC_075293,Macaca mulatta feces associated virus 7,RefSeq,GCF_003673385.1,"Kapusinszky,B., Ardeshir,A., Mulvaney,U., Deng,X., Delwart,E.L.","National Center for Biotechnology Information, NIH",USA,2023-05-04,cg1341,Porprismacovirus macas1,2455,complete,,USA,,Macaca mulatta,feces,2014
NC_075294,Macaca mulatta feces associated virus 4,RefSeq,GCF_003673445.1,"Kapusinszky,B., Ardeshir,A., Mulvaney,U., Deng,X., Delwart,E.L.","National Center for Biotechnology Information, NIH",USA,2023-05-04,cg10375,Porprismacovirus macas2,2568,complete,,USA,,Macaca mulatta,feces,2014
NC_075295,Macaca mulatta feces associated virus 3,RefSeq,GCF_003673505.1,"Kapusinszky,B., Ardeshir,A., Mulvaney,U., Deng,X., Delwart,E.L.","National Center for Biotechnology Information, NIH",USA,2023-05-04,Masavirus,Porprismacovirus macas3,2504,complete,,USA,,Macaca mulatta,feces,2014
NC_075300,Rodent stool-associated circular genome virus,RefSeq,GCF_003726195.1,"Phan,T.G., Kapusinszky,B., Wang,C., Rose,R.K., Lipton,H.L., Delwart,E.L., Phan,T., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Rodent stool-associated circular genome virus,2069,complete,,USA,,Microtus pennsylvanicus,feces,2008
NC_075301,Rodent stool-associated circular genome virus,RefSeq,GCF_003726215.1,"Phan,T.G., Kapusinszky,B., Wang,C., Rose,R.K., Lipton,H.L., Delwart,E.L., Phan,T., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Rodent stool-associated circular genome virus,2220,complete,,USA,,Microtus pennsylvanicus,feces,2008
NC_075302,Rodent stool-associated circular genome virus,RefSeq,GCF_003726415.1,"Phan,T.G., Kapusinszky,B., Wang,C., Rose,R.K., Lipton,H.L., Delwart,E.L., Phan,T., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Rodent stool-associated circular genome virus,2070,complete,,USA,,Microtus pennsylvanicus,feces,2008
NC_075303,Culex mononega-like virus 2,RefSeq,GCF_003729335.1,"Shi,M., Neville,P., Nicholson,J., Eden,J.S., Imrie,A., Holmes,E.C., Eden,J.-S.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Doupovirus australiaense,13259,complete,,Australia: Point Douro,,Culex australicus,,2015-09-07
NC_075304,Culex rhabdo-like virus,RefSeq,GCF_003729895.1,"Sadeghi,M., Altan,E., Deng,X., Barker,C.M., Fang,Y., Coffey,L.L., Delwart,E., Coffey,L.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Ohlsrhavirus culex,11301,complete,,USA,,Culex,,2016-07-02
NC_075305,Genomoviridae sp.,RefSeq,GCF_003846465.1,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,2023-05-04,ctcg63,Genomoviridae sp.,2177,complete,,USA,,,,2017-06-01
NC_075306,Genomoviridae sp.,RefSeq,GCF_003846485.1,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,2023-05-04,cthd64,Genomoviridae sp.,2174,complete,,USA,,,,2017-06-01
NC_075307,Cybaeus spider associated circular virus 2,RefSeq,GCF_003847305.1,"Rosario,K., Mettel,K.A., Benner,B.E., Johnson,R., Scott,C., Yusseff-Vanegas,S.Z., Baker,C.C., Cassill,D.L., Storer,C., Varsani,A., Breitbart,M.","National Center for Biotechnology Information, NIH",USA,2023-05-04,BC_I1644B_C3,Gemykibivirus cybusi1,2344,complete,,"Canada: Victoria, British Columbia",,Cybaeus signifer,,2017-05
NC_075308,Spider associated circular virus 1,RefSeq,GCF_003847385.1,"Rosario,K., Mettel,K.A., Benner,B.E., Johnson,R., Scott,C., Yusseff-Vanegas,S.Z., Baker,C.C., Cassill,D.L., Storer,C., Varsani,A., Breitbart,M.","National Center for Biotechnology Information, NIH",USA,2023-05-04,BC_I1644D_G1,Gemycircularvirus cybusi1,2217,complete,,"Canada: Victoria, British Columbia",,Cybaeus signifer,,2017-05
NC_075309,Grasshopper associated circular virus 1,RefSeq,GCF_003847455.1,"Rosario,K., Mettel,K.A., Benner,B.E., Johnson,R., Scott,C., Yusseff-Vanegas,S.Z., Baker,C.C., Cassill,D.L., Storer,C., Varsani,A., Breitbart,M.","National Center for Biotechnology Information, NIH",USA,2023-05-04,FL_SDBVL,Gemykolovirus easlu1,2309,complete,,"USA: St. Petersburg, FL",FL,Romalea microptera,,2011
NC_075310,Momordica charantia associated gemycircularvirus,RefSeq,GCF_003847565.1,"de Rezende,R.R., Mar,T.B., Paez,L.M., Silva Xavier,A.D., Xavier,C.A., Navas-Castillo,J., Zerbini,F.M., Alfenas-Zerbini,P., Rezende,R.R., Paez,L.M.C., Xavier,A.S., Xavier,C.A.D., Navas-Castilho,J.","National Center for Biotechnology Information, NIH",USA,2023-05-04,Br1,Gemycircularvirus mocha1,2195,complete,,Brazil,,Momordica charantia,plant leaf,2018-03-05
NC_075311,Bark beetle-associated genomovirus 4,RefSeq,GCF_003847625.1,"Kraberger,S., Farkas,K., Potter,K.A., Hofstetter,R.W., Varsani,A.","National Center for Biotechnology Information, NIH",USA,2023-05-04,BbaGV-4_US-AB02_249-2014,Gemycircularvirus denbre4,2122,complete,,USA,,Dendroctonus brevicomis,,2014
NC_075312,Bark beetle-associated genomovirus 3,RefSeq,GCF_003847645.1,"Kraberger,S., Farkas,K., Potter,K.A., Hofstetter,R.W., Varsani,A.","National Center for Biotechnology Information, NIH",USA,2023-05-04,BbaGV-3_US-AB02_1323-2014,Gemycircularvirus denbre3,2125,complete,,USA,,Dendroctonus brevicomis,,2014
NC_075313,Bark beetle-associated genomovirus 2,RefSeq,GCF_003847665.1,"Kraberger,S., Farkas,K., Potter,K.A., Hofstetter,R.W., Varsani,A.","National Center for Biotechnology Information, NIH",USA,2023-05-04,BbaGV-2_US-AB02_1133-2014,Gemycircularvirus denbre2,2106,complete,,USA,,Dendroctonus brevicomis,,2014
