Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Length,Nuc_Completeness,Segment,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
NC_055524,Tomato twisted leaf virus,RefSeq,GCF_013088455.1,"Romay,G., Geraud-Pouey,F., Chirinos,D.T., Mahillon,M., Gillis,A., Mahillon,J., Bragard,C.","National Center for Biotechnology Information, NIH",USA,2021-06-01,Be6.6H,Tomato twisted leaf virus,Begomovirus,2597,complete,DNA-A,Venezuela,,Solanum lycopersicum,,2005-07-22
NC_055525,Melon yellow mosaic virus,RefSeq,GCF_013088465.1,"Charoenvilaisiri,S.","National Center for Biotechnology Information, NIH",USA,2021-06-01,Me-MS-9,Melon yellow mosaic virus,Begomovirus,2736,complete,A,Thailand,,Cucurbitaceae,,2015
NC_055533,Apple rubbery wood virus 2,RefSeq,GCF_013088665.1,"Rott,M.E., Kesanakurti,P., Boyes,I., Bewarth,C., Jelkman,W.","National Center for Biotechnology Information, NIH",USA,2021-06-01,R12,Rubodvirus prosserense,Rubodvirus,1319,complete,Sb,Germany,,Malus,plant leaf,2014-04-12
NC_055534,Apple rubbery wood virus 2,RefSeq,GCF_013088665.1,"Rott,M.E., Kesanakurti,P., Boyes,I., Bewarth,C., Jelkman,W.","National Center for Biotechnology Information, NIH",USA,2021-06-01,R12,Rubodvirus prosserense,Rubodvirus,7340,complete,L,Germany,,Malus,plant leaf,2014-04-12
NC_055535,Apple rubbery wood virus 2,RefSeq,GCF_013088665.1,"Rott,M.E., Kesanakurti,P., Boyes,I., Bewarth,C., Jelkman,W.","National Center for Biotechnology Information, NIH",USA,2021-06-01,R12,Rubodvirus prosserense,Rubodvirus,1463,complete,Sa,Germany,,Malus,plant leaf,2014-04-12
NC_055536,Apple rubbery wood virus 2,RefSeq,GCF_013088665.1,"Rott,M.E., Kesanakurti,P., Boyes,I., Bewarth,C., Jelkman,W.","National Center for Biotechnology Information, NIH",USA,2021-06-01,R12,Rubodvirus prosserense,Rubodvirus,1581,complete,Ma,Germany,,Malus,plant leaf,2014-04-12
NC_055537,Apple rubbery wood virus 2,RefSeq,GCF_013088665.1,"Rott,M.E., Kesanakurti,P., Boyes,I., Bewarth,C., Jelkman,W.","National Center for Biotechnology Information, NIH",USA,2021-06-01,R12,Rubodvirus prosserense,Rubodvirus,1617,complete,Mb,Germany,,Malus,plant leaf,2014-04-12
NC_055539,Bitter gourd yellow mosaic virus,RefSeq,GCF_014884275.1,"Manivannan,K., Renukadevi,P., Malathi,V.G., Karthikeyan,G., Balakrishnan,N.","National Center for Biotechnology Information, NIH",USA,2021-06-01,BgYMV,Bitter gourd yellow mosaic virus,Begomovirus,2715,complete,DNA B,India,,Momordica charantia,,2017-08
NC_055540,Bitter gourd yellow mosaic virus,RefSeq,GCF_014884275.1,"Manivannan,K., Renukadevi,P., Malathi,V.G., Balakrishnan,N.","National Center for Biotechnology Information, NIH",USA,2021-06-01,,Bitter gourd yellow mosaic virus,Begomovirus,2759,complete,DNA A,India,,Momordica charantia,,2017-08-05
NC_055543,Hybanthus yellow mosaic virus,RefSeq,GCF_018580615.2,"Lopez-Lopez,K., Jara-Tejada,F., Vaca-Vaca,J.C.","National Center for Biotechnology Information, NIH",USA,2021-06-01,Florida/Valle/2014,Hybanthus yellow mosaic virus,Begomovirus,2592,complete,DNA A,Colombia,,Pombalia attenuata,,2014-10-12
NC_055544,Verbena mottle virus,RefSeq,GCF_018580625.2,"Lopez-Lopez,K., Jara-Tejada,F., Arguello-Astorga,G.R., Vaca-Vaca,J.C.","National Center for Biotechnology Information, NIH",USA,2021-06-01,Florida/Valle/2014,Verbena mottle virus,Begomovirus,2626,complete,DNA A,Colombia,,Verbena,,2014-10-12
NC_055548,Sida yellow golden mosaic virus,RefSeq,GCF_018582795.2,"Macedo,M., Moraes,C., Gilbertson,R., Inoue Nagata,A.","National Center for Biotechnology Information, NIH",USA,2021-06-01,SPI15,Sida yellow golden mosaic virus,Begomovirus,2661,complete,DNA A,Brazil,,Sida,,2015
NC_055570,Tomato vein clearing leaf deformation virus,RefSeq,GCF_018585205.2,"Vaghi Medina,C.G., Bornancini,V.A., Lopez Lambertini,P.M.","National Center for Biotechnology Information, NIH",USA,2021-06-01,AR:Cordoba:Monte Cristo:Tom51:05,Tomato vein clearing leaf deformation virus,Begomovirus,2698,complete,DNA A,Argentina,,Solanum lycopersicum,,2005-04-11
NC_055581,Sida chlorotic leaf virus,RefSeq,GCF_018587405.2,,"National Center for Biotechnology Information, NIH",USA,2021-06-01,SiChLV/Colima,Sida chlorotic leaf virus,Begomovirus,2635,complete,DNA-A,Mexico,,Sida,,2018-08
NC_055586,Tomato yellow leaf deformation dwarf virus,RefSeq,GCF_018587685.2,"Pereira-Carvalho,R.C., Reis-Goncalves,V.P.M., Boiteux,L.S., Fonseca,M.E.N., Naito,F.Y., Rojas,M.R., Gilbertson,R.L.","National Center for Biotechnology Information, NIH",USA,2021-06-01,,Tomato yellow leaf deformation dwarf virus,Begomovirus,2659,complete,A,Brazil,,Solanum lycopersicum,,2008-07
NC_055587,Tomato mosaic severe dwarf virus,RefSeq,GCF_018587715.2,"Alves-Andrade,I., Gilbertson,R.L., Boiteux,L.S., Fonseca,M.E.N., Rojas,M.R., Reis,L.N.A., Pereira-Carvalho,R.C.","National Center for Biotechnology Information, NIH",USA,2021-06-01,DF-640_AA-LVV,Tomato mosaic severe dwarf virus,Begomovirus,2605,complete,A,Brazil,,,,2016-04
NC_055589,Bean latent virus,RefSeq,GCF_018587735.2,"Martinez-Marrero,N., Avalos-Calleros,J.A., Chiquito-Almanza,E., Acosta-Gallegos,J.A., Ambriz-Granados,S., Arguello-Astorga,G.R., Anaya-Lopez,J.L.","National Center for Biotechnology Information, NIH",USA,2021-06-01,CN30 Nayarit,Bean latent virus,Begomovirus,2613,complete,DNA A,"Mexico: Ruiz, Nayarit",,Phaseolus vulgaris,,2014-01-01
NC_055591,Ocimum golden mosaic virus,RefSeq,GCF_018589025.1,,"National Center for Biotechnology Information, NIH",USA,2021-06-01,Uganda-UG31-2015,Ocimum golden mosaic virus,Begomovirus,2752,complete,DNA-A,Uganda,,Ocimum gratissimum,,2015
NC_055592,Ocimum yellow vein virus,RefSeq,GCF_018589035.2,,"National Center for Biotechnology Information, NIH",USA,2021-06-01,Uganda-UG14-2015,Ocimum yellow vein virus,Begomovirus,2804,complete,DNA-A,Uganda,,Ocimum gratissimum,,2015
NC_055593,Ocimum mosaic virus,RefSeq,GCF_018589045.1,,"National Center for Biotechnology Information, NIH",USA,2021-06-01,Uganda-UG24-2015,Ocimum mosaic virus,Begomovirus,2794,complete,DNA-A,Uganda,,Ocimum gratissimum,,2015
NC_055594,Bean bushy stunt virus,RefSeq,GCF_018589415.2,"Reyna,P., Bejerman,N., Laguna,G., Rodriguez Pardina,P.","National Center for Biotechnology Information, NIH",USA,2021-06-01,General Mosconi,Bean bushy stunt virus,Begomovirus,2572,complete,A,Argentina,,Phaseolus vulgaris,,2017-04
NC_055596,Pepper blistering leaf virus,RefSeq,GCF_018589445.2,"Bornancini,V.A., Irazoqui,J.M., Flores,C.R., Vaghi Medina,C.G., Amadio,A.F., Lopez Lambertini,P.M., Irazoqui,M.","National Center for Biotechnology Information, NIH",USA,2021-06-01,AR:Salta:Oran:Pepper663:2014,Pepper blistering leaf virus,Begomovirus,2651,complete,DNA A,Argentina,,Capsicum annuum,,2014-08
NC_055602,Sida interveinal bright yellow virus,RefSeq,GCF_018591025.2,"Sanchez-Luna,S., Martinez-Marrero,N., Avalos-Calleros,J.A., Ambriz-Granados,S., Arguello-Astorga,G.R.","National Center for Biotechnology Information, NIH",USA,2021-06-01,Conca 1,Sida interveinal bright yellow virus,Begomovirus,2611,complete,DNA A,Mexico: Queretaro,,Sida,,2018
NC_055605,Betachrysovirus aspergilli,RefSeq,GCF_018591365.1,"Ejmal,M.A., Holland,D.J., MacDiarmid,R.M., Pearson,M.N.","National Center for Biotechnology Information, NIH",USA,2021-06-01,NZCV1,Betachrysovirus aspergilli,Betachrysovirus,2772,complete,2,New Zealand,,Aspergillus thermomutatus,,2012-07-10
NC_055607,Betachrysovirus aspergilli,RefSeq,GCF_018591365.1,"Ejmal,M.A., Holland,D.J., MacDiarmid,R.M., Pearson,M.N.","National Center for Biotechnology Information, NIH",USA,2021-06-01,NZCV1,Betachrysovirus aspergilli,Betachrysovirus,2514,complete,4,New Zealand,,Aspergillus thermomutatus,,2012-07-10
NC_055608,Betachrysovirus aspergilli,RefSeq,GCF_018591365.1,"Ejmal,M.A., Holland,D.J., MacDiarmid,R.M., Pearson,M.N.","National Center for Biotechnology Information, NIH",USA,2021-06-01,NZCV1,Betachrysovirus aspergilli,Betachrysovirus,3589,complete,1,New Zealand,,Aspergillus thermomutatus,,2012-07-10
NC_055609,Parsley severe stunt associated virus,RefSeq,GCF_018591425.1,"Vetten,H.J., Knierim,D., Gronenborn,B., Menzel,W., Weichelt,V., Maiberg,V., Maiss,E., Krenz,B., Winter,S.","National Center for Biotechnology Information, NIH",USA,2021-06-01,Pa21,Parsley severe stunt associated virus,Nanovirus,965,complete,DNA C,Germany: Cremlingen,,Petroselinum crispum,,2017-10-02
NC_055610,Parsley severe stunt associated virus,RefSeq,GCF_018591425.1,"Vetten,H.J., Knierim,D., Gronenborn,B., Menzel,W., Weichelt,V., Maiberg,V., Maiss,E., Krenz,B., Winter,S.","National Center for Biotechnology Information, NIH",USA,2021-06-01,Pa21,Parsley severe stunt associated virus,Nanovirus,958,complete,DNA M,Germany: Cremlingen,,Petroselinum crispum,,2017-10-02
NC_055611,Parsley severe stunt associated virus,RefSeq,GCF_018591425.1,"Vetten,H.J., Knierim,D., Gronenborn,B., Menzel,W., Weichelt,V., Maiberg,V., Maiss,E., Krenz,B., Winter,S.","National Center for Biotechnology Information, NIH",USA,2021-06-01,Pa21,Parsley severe stunt associated virus,Nanovirus,969,complete,DNA N,Germany: Cremlingen,,Petroselinum crispum,,2017-10-02
NC_055612,Parsley severe stunt associated virus,RefSeq,GCF_018591425.1,"Vetten,H.J., Knierim,D., Gronenborn,B., Menzel,W., Weichelt,V., Maiberg,V., Maiss,E., Krenz,B., Winter,S.","National Center for Biotechnology Information, NIH",USA,2021-06-01,Pa21,Parsley severe stunt associated virus,Nanovirus,979,complete,DNA R.1,Germany: Cremlingen,,Petroselinum crispum,,2017-10-02
NC_055613,Parsley severe stunt associated virus,RefSeq,GCF_018591425.1,"Vetten,H.J., Knierim,D., Gronenborn,B., Menzel,W., Weichelt,V., Maiberg,V., Maiss,E., Krenz,B., Winter,S.","National Center for Biotechnology Information, NIH",USA,2021-06-01,Pa21,Parsley severe stunt associated virus,Nanovirus,962,complete,DNA U1,Germany: Cremlingen,,Petroselinum crispum,,2017-10-02
NC_055614,Parsley severe stunt associated virus,RefSeq,GCF_018591425.1,"Vetten,H.J., Knierim,D., Gronenborn,B., Menzel,W., Weichelt,V., Maiberg,V., Maiss,E., Krenz,B., Winter,S.","National Center for Biotechnology Information, NIH",USA,2021-06-01,Pa21,Parsley severe stunt associated virus,Nanovirus,957,complete,DNA U2,Germany: Cremlingen,,Petroselinum crispum,,2017-10-02
NC_055615,Parsley severe stunt associated virus,RefSeq,GCF_018591425.1,"Vetten,H.J., Knierim,D., Gronenborn,B., Menzel,W., Weichelt,V., Maiberg,V., Maiss,E., Krenz,B., Winter,S.","National Center for Biotechnology Information, NIH",USA,2021-06-01,Pa21,Parsley severe stunt associated virus,Nanovirus,963,complete,DNA S,Germany: Cremlingen,,Petroselinum crispum,,2017-10-02
NC_055616,Sophora yellow stunt virus,RefSeq,GCF_018591435.1,"Heydarnejad,J., Hassanvand,V., Sadeghi-Majd,J., Bagheri,S., Kamali,M., Pouramini,N., Koohshahi,A., Massumi,H., Varsani,A.","National Center for Biotechnology Information, NIH",USA,2021-06-01,IR:Har:H13:Soph:17,Sophora yellow stunt virus,Nanovirus,978,complete,DNA M,"Iran: Kermanshah, Harsin",,Sophora alopecuroides,plant leaf,2017
NC_055617,Sophora yellow stunt virus,RefSeq,GCF_018591435.1,"Heydarnejad,J., Hassanvand,V., Sadeghi-Majd,J., Bagheri,S., Kamali,M., Pouramini,N., Koohshahi,A., Massumi,H., Varsani,A.","National Center for Biotechnology Information, NIH",USA,2021-06-01,IR:Har:H13:Soph:17,Sophora yellow stunt virus,Nanovirus,988,complete,DNA S,"Iran: Kermanshah, Harsin",,Sophora alopecuroides,plant leaf,2017
NC_055618,Sophora yellow stunt virus,RefSeq,GCF_018591435.1,"Heydarnejad,J., Hassanvand,V., Sadeghi-Majd,J., Bagheri,S., Kamali,M., Pouramini,N., Koohshahi,A., Massumi,H., Varsani,A.","National Center for Biotechnology Information, NIH",USA,2021-06-01,IR:Har:H13:Soph:17,Sophora yellow stunt virus,Nanovirus,997,complete,DNA R,"Iran: Kermanshah, Harsin",,Sophora alopecuroides,plant leaf,2017
NC_055619,Sophora yellow stunt virus,RefSeq,GCF_018591435.1,"Heydarnejad,J., Hassanvand,V., Sadeghi-Majd,J., Bagheri,S., Kamali,M., Pouramini,N., Koohshahi,A., Massumi,H., Varsani,A.","National Center for Biotechnology Information, NIH",USA,2021-06-01,IR:Har:H13:Soph:17,Sophora yellow stunt virus,Nanovirus,980,complete,DNA U2,"Iran: Kermanshah, Harsin",,Sophora alopecuroides,plant leaf,2017
NC_055620,Sophora yellow stunt virus,RefSeq,GCF_018591435.1,"Heydarnejad,J., Hassanvand,V., Sadeghi-Majd,J., Bagheri,S., Kamali,M., Pouramini,N., Koohshahi,A., Massumi,H., Varsani,A.","National Center for Biotechnology Information, NIH",USA,2021-06-01,IR:Har:H13:Soph:17,Sophora yellow stunt virus,Nanovirus,996,complete,DNA U4,"Iran: Kermanshah, Harsin",,Sophora alopecuroides,plant leaf,2017
NC_055621,Sophora yellow stunt virus,RefSeq,GCF_018591435.1,"Heydarnejad,J., Hassanvand,V., Sadeghi-Majd,J., Bagheri,S., Kamali,M., Pouramini,N., Koohshahi,A., Massumi,H., Varsani,A.","National Center for Biotechnology Information, NIH",USA,2021-06-01,IR:Har:H13:Soph:17,Sophora yellow stunt virus,Nanovirus,984,complete,DNA U1,"Iran: Kermanshah, Harsin",,Sophora alopecuroides,plant leaf,2017
NC_055622,Sophora yellow stunt virus,RefSeq,GCF_018591435.1,"Heydarnejad,J., Hassanvand,V., Sadeghi-Majd,J., Bagheri,S., Kamali,M., Pouramini,N., Koohshahi,A., Massumi,H., Varsani,A.","National Center for Biotechnology Information, NIH",USA,2021-06-01,IR:Har:H13:Soph:17,Sophora yellow stunt virus,Nanovirus,984,complete,DNA C,"Iran: Kermanshah, Harsin",,Sophora alopecuroides,plant leaf,2017
NC_055623,Sophora yellow stunt virus,RefSeq,GCF_018591435.1,"Heydarnejad,J., Hassanvand,V., Sadeghi-Majd,J., Bagheri,S., Kamali,M., Pouramini,N., Koohshahi,A., Massumi,H., Varsani,A.","National Center for Biotechnology Information, NIH",USA,2021-06-01,IR:Har:H13:Soph:17,Sophora yellow stunt virus,Nanovirus,986,complete,DNA N,"Iran: Kermanshah, Harsin",,Sophora alopecuroides,plant leaf,2017
NC_055624,Coniothyrium diplodiella chrysovirus 1,RefSeq,GCF_018594565.1,"Nerva,L., Turina,M., Zanzotto,A., Gardiman,M., Gaiotti,F., Gambino,G., Chitarra,W.","National Center for Biotechnology Information, NIH",USA,2021-06-01,CREA-VE-6SY1,Betachrysovirus coniothyrii,Betachrysovirus,2703,complete,RNA 2,Italy,,Coniella diplodiella,,2017
NC_055625,Coniothyrium diplodiella chrysovirus 1,RefSeq,GCF_018594565.1,"Nerva,L., Turina,M., Zanzotto,A., Gardiman,M., Gaiotti,F., Gambino,G., Chitarra,W.","National Center for Biotechnology Information, NIH",USA,2021-06-01,CREA-VE-6SY1,Betachrysovirus coniothyrii,Betachrysovirus,2676,complete,RNA 3,Italy,,Coniella diplodiella,,2017
NC_055626,Coniothyrium diplodiella chrysovirus 1,RefSeq,GCF_018594565.1,"Nerva,L., Turina,M., Zanzotto,A., Gardiman,M., Gaiotti,F., Gambino,G., Chitarra,W.","National Center for Biotechnology Information, NIH",USA,2021-06-01,CREA-VE-6SY1,Betachrysovirus coniothyrii,Betachrysovirus,2505,complete,RNA 4,Italy,,Coniella diplodiella,,2017
NC_055627,Coniothyrium diplodiella chrysovirus 1,RefSeq,GCF_018594565.1,"Nerva,L., Turina,M., Zanzotto,A., Gardiman,M., Gaiotti,F., Gambino,G., Chitarra,W.","National Center for Biotechnology Information, NIH",USA,2021-06-01,CREA-VE-6SY1,Betachrysovirus coniothyrii,Betachrysovirus,3625,complete,RNA 1,Italy,,Coniella diplodiella,,2017
NC_055628,Neofusicoccum parvum chrysovirus 1,RefSeq,GCF_018594875.1,"Nerva,L., Turina,M., Zanzotto,A., Gardiman,M., Gaiotti,F., Gambino,G., Chitarra,W.","National Center for Biotechnology Information, NIH",USA,2021-06-01,CREA-VE-22AS3,Betachrysovirus neofusicocci,Betachrysovirus,3039,complete,RNA 2,Italy,,Neofusicoccum parvum,,2017
NC_055629,Neofusicoccum parvum chrysovirus 1,RefSeq,GCF_018594875.1,"Nerva,L., Turina,M., Zanzotto,A., Gardiman,M., Gaiotti,F., Gambino,G., Chitarra,W.","National Center for Biotechnology Information, NIH",USA,2021-06-01,CREA-VE-22AS3,Betachrysovirus neofusicocci,Betachrysovirus,3096,complete,RNA 3,Italy,,Neofusicoccum parvum,,2017
NC_055630,Neofusicoccum parvum chrysovirus 1,RefSeq,GCF_018594875.1,"Nerva,L., Turina,M., Zanzotto,A., Gardiman,M., Gaiotti,F., Gambino,G., Chitarra,W.","National Center for Biotechnology Information, NIH",USA,2021-06-01,CREA-VE-22AS3,Betachrysovirus neofusicocci,Betachrysovirus,3461,complete,RNA 1,Italy,,Neofusicoccum parvum,,2017
NC_055631,Neofusicoccum parvum chrysovirus 1,RefSeq,GCF_018594875.1,"Nerva,L., Turina,M., Zanzotto,A., Gardiman,M., Gaiotti,F., Gambino,G., Chitarra,W.","National Center for Biotechnology Information, NIH",USA,2021-06-01,CREA-VE-22AS3,Betachrysovirus neofusicocci,Betachrysovirus,2883,complete,RNA 4,Italy,,Neofusicoccum parvum,,2017
NC_055632,Orthohantavirus robinaense,RefSeq,GCF_018594985.1,"Smith,C.S., Gordon,A., Agnihotri,K., Underwood,D., Pyne,M., Jane,O.E.","National Center for Biotechnology Information, NIH",USA,2021-06-01,P17-14855,Orthohantavirus robinaense,Orthohantavirus,6447,complete,1,Australia,,Pteropus alecto,brain,2017-07-03
NC_055633,Orthohantavirus robinaense,RefSeq,GCF_018594985.1,"Smith,C.S., Gordon,A., Agnihotri,K., Underwood,D., Pyne,M., Jane,O.E.","National Center for Biotechnology Information, NIH",USA,2021-06-01,P17-14855,Orthohantavirus robinaense,Orthohantavirus,1290,complete,2,Australia,,Pteropus alecto,brain,2017-07-03
NC_055635,Orthohantavirus tatenalense,RefSeq,GCF_018595015.1,"Chappell,J.G., Tsoleridis,T., Onianwa,O., Drake,G., Ashpole,I., Dobbs,P., Edema,W., Kumi-Ansah,F., Bennett,M., Tarlinton,R.E., Ball,J.K., McClure,C.P.","National Center for Biotechnology Information, NIH",USA,2021-06-01,,Orthohantavirus tatenalense,Orthohantavirus,1302,complete,S,United Kingdom,,Microtus agrestis,lung,2014
NC_055636,Orthohantavirus tatenalense,RefSeq,GCF_018595015.1,"Chappell,J.G., Tsoleridis,T., Onianwa,O., Drake,G., Ashpole,I., Dobbs,P., Edema,W., Kumi-Ansah,F., Bennett,M., Tarlinton,R.E., Ball,J.K., McClure,C.P.","National Center for Biotechnology Information, NIH",USA,2021-06-01,,Orthohantavirus tatenalense,Orthohantavirus,6465,complete,L,United Kingdom,,Microtus agrestis,lung,2014
NC_055637,Orthohantavirus tatenalense,RefSeq,GCF_018595015.1,"Chappell,J.G., Tsoleridis,T., Onianwa,O., Drake,G., Ashpole,I., Dobbs,P., Edema,W., Kumi-Ansah,F., Bennett,M., Tarlinton,R.E., Ball,J.K., McClure,C.P.","National Center for Biotechnology Information, NIH",USA,2021-06-01,,Orthohantavirus tatenalense,Orthohantavirus,3355,complete,M,United Kingdom,,Microtus agrestis,lung,2014
NC_055638,Actinovirus bernense,RefSeq,GCF_018595115.1,"Hierweger,M.M., Koch,M.C., Rupp,M., Schmidt-Posthaus,H., Seuberlich,T.","National Center for Biotechnology Information, NIH",USA,2021-06-01,,Actinovirus bernense,Actinovirus,3804,complete,M,Switzerland,,Perca fluviatilis,,2017
NC_055639,Actinovirus bernense,RefSeq,GCF_018595115.1,"Hierweger,M.M., Koch,M.C., Rupp,M., Schmidt-Posthaus,H., Seuberlich,T.","National Center for Biotechnology Information, NIH",USA,2021-06-01,,Actinovirus bernense,Actinovirus,2435,complete,S,Switzerland,,Perca fluviatilis,,2017
NC_055640,Actinovirus bernense,RefSeq,GCF_018595115.1,"Hierweger,M.M., Koch,M.C., Rupp,M., Schmidt-Posthaus,H., Seuberlich,T.","National Center for Biotechnology Information, NIH",USA,2021-06-01,,Actinovirus bernense,Actinovirus,6372,complete,L,Switzerland,,Perca fluviatilis,,2017
NC_055641,Emaravirus cordylinae,RefSeq,GCF_018595315.1,"Olmedo Velarde,A., Park,A., Melzer,M.J.","National Center for Biotechnology Information, NIH",USA,2021-06-01,UH_Manoa,Emaravirus cordylinae,Emaravirus,7217,complete,RNA 1,USA: Hawaii,HI,Cordyline fruticosa,plant leaf,2017-09-20
NC_055642,Emaravirus cordylinae,RefSeq,GCF_018595315.1,"Olmedo Velarde,A., Park,A., Melzer,M.J.","National Center for Biotechnology Information, NIH",USA,2021-06-01,UH_Manoa,Emaravirus cordylinae,Emaravirus,2399,complete,RNA 2,USA: Hawaii,HI,Cordyline fruticosa,plant leaf,2017-09-20
NC_055643,Emaravirus cordylinae,RefSeq,GCF_018595315.1,"Olmedo Velarde,A., Park,A., Melzer,M.J.","National Center for Biotechnology Information, NIH",USA,2021-06-01,UH_Manoa,Emaravirus cordylinae,Emaravirus,1106,complete,RNA 3,USA: Hawaii,HI,Cordyline fruticosa,plant leaf,2017-09-20
NC_055644,Emaravirus cordylinae,RefSeq,GCF_018595315.1,"Olmedo Velarde,A., Park,A., Melzer,M.J.","National Center for Biotechnology Information, NIH",USA,2021-06-01,UH_Manoa,Emaravirus cordylinae,Emaravirus,1342,complete,RNA 4,USA: Hawaii,HI,Cordyline fruticosa,plant leaf,2017-09-20
NC_055645,Emaravirus cordylinae,RefSeq,GCF_018595315.1,"Olmedo Velarde,A., Park,A., Melzer,M.J.","National Center for Biotechnology Information, NIH",USA,2021-06-01,UH_Manoa,Emaravirus cordylinae,Emaravirus,1323,complete,RNA 5,USA: Hawaii,HI,Cordyline fruticosa,plant leaf,2017-09-20
NC_055646,Emaravirus kiwii,RefSeq,GCF_018595345.1,"Wang,Y., Zhai,L., Wen,S., Yang,Z., Wang,G., Hong,N.","National Center for Biotechnology Information, NIH",USA,2021-06-01,YD,Emaravirus kiwii,Emaravirus,1387,complete,RNA 3,China,,Actinidia deliciosa,,2016-06
NC_055647,Emaravirus kiwii,RefSeq,GCF_018595345.1,"Wang,Y., Zhai,L., Wen,S., Yang,Z., Wang,G., Hong,N.","National Center for Biotechnology Information, NIH",USA,2021-06-01,YD,Emaravirus kiwii,Emaravirus,7079,complete,RNA 1,China,,Actinidia deliciosa,,2016-06
NC_055648,Emaravirus kiwii,RefSeq,GCF_018595345.1,"Wang,Y., Zhai,L., Wen,S., Yang,Z., Wang,G., Hong,N.","National Center for Biotechnology Information, NIH",USA,2021-06-01,YD,Emaravirus kiwii,Emaravirus,2252,complete,RNA 2,China,,Actinidia deliciosa,,2016-06
NC_055649,Emaravirus kiwii,RefSeq,GCF_018595345.1,"Wang,Y., Zhai,L., Wen,S., Yang,Z., Wang,G., Hong,N.","National Center for Biotechnology Information, NIH",USA,2021-06-01,YD,Emaravirus kiwii,Emaravirus,1514,complete,RNA 4,China,,Actinidia deliciosa,,2016-06
NC_055650,Emaravirus kiwii,RefSeq,GCF_018595345.1,"Wang,Y., Zhai,L., Wen,S., Yang,Z., Wang,G., Hong,N.","National Center for Biotechnology Information, NIH",USA,2021-06-01,YD,Emaravirus kiwii,Emaravirus,1744,complete,RNA 5,China,,Actinidia deliciosa,,2016-06
NC_055651,Emaravirus kiwii,RefSeq,GCF_018595345.1,"Wang,Y., Zhai,L., Wen,S., Yang,Z., Wang,G., Hong,N.","National Center for Biotechnology Information, NIH",USA,2021-06-01,YD,Emaravirus kiwii,Emaravirus,1233,complete,RNA6,China,,Actinidia deliciosa,,2016-06
NC_055652,Passion fruit green spot virus,RefSeq,GCF_018595385.1,"Ramos-Gonzalez,P.L., Santos,G., Chavi-Jesus,C., Harakava,R., Kitajima,E.W., Freitas-Astua,J.","National Center for Biotechnology Information, NIH",USA,2021-06-01,PFGSV/Snp1,Cilevirus passiflorae,Cilevirus,4793,complete,RNA 2,"Brazil: Sinop, MT",,Passiflora,plant leaf,2016-12
NC_055653,Passion fruit green spot virus,RefSeq,GCF_018595385.1,"Ramos-Gonzalez,P.L., Santos,G., Chavi-Jesus,C., Harakava,R., Kitajima,E.W., Freitas-Astua,J.","National Center for Biotechnology Information, NIH",USA,2021-06-01,PFGSV/Snp1,Cilevirus passiflorae,Cilevirus,8753,complete,RNA 1,Brazil,,Passiflora,plant leaf,2016-12
NC_055654,Chrysothrix chrysovirus 1,RefSeq,GCF_018595485.1,"Petrzik,K., Koloniuk,I., Sehadova,H., Sarkisova,T.","National Center for Biotechnology Information, NIH",USA,2021-06-01,ZSH,Alphachrysovirus chrysothricis,Alphachrysovirus,2879,complete,RNA 3,Czech Republic,,Penicillium citreosulfuratum,,2014
NC_055655,Chrysothrix chrysovirus 1,RefSeq,GCF_018595485.1,"Petrzik,K., Koloniuk,I., Sehadova,H., Sarkisova,T.","National Center for Biotechnology Information, NIH",USA,2021-06-01,ZSH,Alphachrysovirus chrysothricis,Alphachrysovirus,3552,complete,RNA 1,Czech Republic,,Penicillium citreosulfuratum,,2014
NC_055656,Chrysothrix chrysovirus 1,RefSeq,GCF_018595485.1,"Petrzik,K., Koloniuk,I., Sehadova,H., Sarkisova,T.","National Center for Biotechnology Information, NIH",USA,2021-06-01,ZSH,Alphachrysovirus chrysothricis,Alphachrysovirus,3191,complete,RNA 2,Czech Republic,,Penicillium citreosulfuratum,,2014
NC_055657,Chrysothrix chrysovirus 1,RefSeq,GCF_018595485.1,"Petrzik,K., Koloniuk,I., Sehadova,H., Sarkisova,T.","National Center for Biotechnology Information, NIH",USA,2021-06-01,ZSH,Alphachrysovirus chrysothricis,Alphachrysovirus,2760,complete,RNA 4,Czech Republic,,Penicillium citreosulfuratum,,2014
NC_052680,Lake Chad virus,RefSeq,GCF_016848445.1,,"National Center for Biotechnology Information, NIH",USA,2021-02-09,Ib An 38918,Quaranjavirus chadense,Quaranjavirus,2413,complete,1,Nigeria,,Ploceus vitellinus,,1969
NC_052681,Lake Chad virus,RefSeq,GCF_016848445.1,,"National Center for Biotechnology Information, NIH",USA,2021-02-09,Ib An 38918,Quaranjavirus chadense,Quaranjavirus,2410,complete,2,Nigeria,,Ploceus vitellinus,,1969
NC_052683,Lake Chad virus,RefSeq,GCF_016848445.1,,"National Center for Biotechnology Information, NIH",USA,2021-02-09,Ib An 38918,Quaranjavirus chadense,Quaranjavirus,1738,complete,4,Nigeria,,Ploceus vitellinus,,1969
NC_052684,Lake Chad virus,RefSeq,GCF_016848445.1,,"National Center for Biotechnology Information, NIH",USA,2021-02-09,Ib An 38918,Quaranjavirus chadense,Quaranjavirus,1614,complete,5,Nigeria,,Ploceus vitellinus,,1969
